manajer pss sleman bantah timnya terlibat dugaan pengaturan skor ;0
suporter pss sleman siap beri dukungan di laga final liga 2 2018 ;1
ugm darurat kekerasan seksual. mereka sudah menyalakan tanda bahaya, ayo kampus lain turut bergerak. bagi yang ada… ;-1
pss sleman resmi ke liga 1 - suasana kegembiraan dan video kemenangan pss atas kalteng putra ;1
manajemen kalteng putra bantah terlibat pengaturan skor, semua bermain fair ;0
rifal lastori, spesialis antar tim naik kasta ;1
penantian panjang 11 tahun super elja kembali kasta tertinggi sepakbola indonesia ;1
jadi lebih guyub lagi nih sama sedulur2 @humasjateng @provjateng 🤗  matur nuwun @kai121 👏👏🙏🙏 ;1
dapat 1 tiket liga 1, seto : kami berkeinginan membawa pss menjadi juara  ;0
fokus raih gelar juara liga 2 2018, manajemen pss bahas persiapan di liga 1 secara bertahap ;0 
laporan aktivitas #merapi 23-29 november 2018 dapat disimak di  tingkat aktivitas #merapi wa… ;0
pss sleman resmi promosi ke liga 1 2019, menang 2-0 atas kalteng putra ;0
because last time i was in jogja, a foreign friend asked whether dude herlino was sultan jogja, because his face was everywhere.;0
kulonuwon jogja😁 . terimakasih atas sambutannya, aremania . #aremafc  #aremania #aremanita  #singoedan… ;1
kantongi tiket promosi ke liga 1, manajer pss ingin bawa elang jawa tuntaskan misi di liga 2 2018 ;0
ugm darurat kekerasan seksual. mereka sudah menyalakan tanda bahaya, ayo kampus lain turut bergerak. bagi yang ada… ;-1
pss sleman resmi ke liga 1 - suasana kegembiraan dan video kemenangan pss atas kalteng putra ;1
penantian panjang 11 tahun super elja kembali kasta tertinggi sepakbola indonesia ;0
dapat 1 tiket liga 1, seto : kami berkeinginan membawa pss menjadi juara  ;0
pss sleman resmi promosi ke liga 1 2019, menang 2-0 atas kalteng putra ;0
because last time i was in jogja, a foreign friend asked whether dude herlino was sultan jogja, because his face was everywhere.;1
buat yang doyan minum es kopi susu, ada pilihan baru nih di jogja sekaligus jadi tempat duduk-duduk tambahan.  ruan… ;0
kawan-kawan di jogja, bara agni akan dikobarkan besok, kamis 29/11 jam 10.00 di gedung rektorat ugm. mari bersolida… ;0
antisipasi pelajar bolos sekolah saat laga pss sleman, disdik sleman minta sekolah awasi siswanya ;-1
daftar 10 warung mie ayam murah dan enak di yogyakarta ;1
siaran pers 24 november 2018, mengenai kejadian guguran lava di #merapi dpt disimak dalam info grafis berikut.… ;0
update skor live streaming tv one pss sleman vs kalteng putra - pss sleman unggul 2-0 ;0
alih-alih optimis, pelatih kalteng putra justru sebut pss sleman dipastikan promosi ke liga 1;0 
ribuan burung layang-layang asia bermigrasi ke selatan dan singgah di jogja untuk menghindari cuaca dingin ekstrem… ;-1
breaking news : waspada, empat kali guguran lava merapi mengarah hulu kali gendol ;-1
